시도명,연도,총합_냉해_스트레스_일수
강원도,2015,0
강원도,2016,0
강원도,2017,0
강원도,2018,0
강원도,2019,0
강원도,2020,0
강원도,2021,0
강원도,2022,2
강원도,2023,2
강원도,2024,3
경기도,2015,1
경기도,2016,0
경기도,2017,0
경기도,2018,1
경기도,2019,2
경기도,2020,1
경기도,2021,0
경기도,2022,0
경기도,2023,0
경기도,2024,0
경상남도,2015,0
경상남도,2016,0
경상남도,2017,0
경상남도,2018,1
경상남도,2019,1
경상남도,2020,0
경상남도,2021,0
경상남도,2022,0
경상남도,2023,0
경상남도,2024,0
경상북도,2015,1
경상북도,2016,2
경상북도,2017,0
경상북도,2018,0
경상북도,2019,2
경상북도,2020,2
경상북도,2021,1
경상북도,2022,7
경상북도,2023,6
경상북도,2024,4
광주광역시,2015,2
광주광역시,2016,1
광주광역시,2017,1
광주광역시,2018,0
광주광역시,2019,4
광주광역시,2020,3
광주광역시,2021,3
광주광역시,2022,5
광주광역시,2023,2
광주광역시,2024,0
대구광역시,2015,0
대구광역시,2016,0
대구광역시,2017,0
대구광역시,2018,3
대구광역시,2019,1
대구광역시,2020,0
대구광역시,2021,0
대구광역시,2022,0
대구광역시,2023,0
대구광역시,2024,2
대전광역시,2015,0
대전광역시,2016,3
대전광역시,2017,0
대전광역시,2018,0
대전광역시,2019,2
대전광역시,2020,0
대전광역시,2021,0
대전광역시,2022,2
대전광역시,2023,1
대전광역시,2024,1
부산광역시,2015,0
부산광역시,2016,1
부산광역시,2017,0
부산광역시,2018,0
부산광역시,2019,0
부산광역시,2020,1
부산광역시,2021,0
부산광역시,2022,0
부산광역시,2023,0
부산광역시,2024,0
서울특별시,2015,0
서울특별시,2016,0
서울특별시,2017,0
서울특별시,2018,0
서울특별시,2019,0
서울특별시,2020,0
서울특별시,2021,0
서울특별시,2022,0
서울특별시,2023,0
서울특별시,2024,0
세종특별자치시,2015,0
세종특별자치시,2016,0
세종특별자치시,2017,0
세종특별자치시,2018,0
세종특별자치시,2019,2
세종특별자치시,2020,0
세종특별자치시,2021,0
세종특별자치시,2022,6
세종특별자치시,2023,3
세종특별자치시,2024,2
울산광역시,2015,0
울산광역시,2016,0
울산광역시,2017,0
울산광역시,2018,0
울산광역시,2019,0
울산광역시,2020,0
울산광역시,2021,0
울산광역시,2022,0
울산광역시,2023,0
울산광역시,2024,1
인천광역시,2015,0
인천광역시,2016,0
인천광역시,2017,0
인천광역시,2018,0
인천광역시,2019,0
인천광역시,2020,0
인천광역시,2021,0
인천광역시,2022,0
인천광역시,2023,0
인천광역시,2024,0
전라남도,2015,0
전라남도,2016,0
전라남도,2017,0
전라남도,2018,0
전라남도,2019,0
전라남도,2020,3
전라남도,2021,0
전라남도,2022,0
전라남도,2023,0
전라남도,2024,0
전라북도,2015,13
전라북도,2016,5
전라북도,2017,1
전라북도,2018,0
전라북도,2019,2
전라북도,2020,1
전라북도,2021,0
전라북도,2022,0
전라북도,2023,1
전라북도,2024,1
제주도,2015,0
제주도,2016,0
제주도,2017,0
제주도,2018,0
제주도,2019,0
제주도,2020,0
제주도,2021,0
제주도,2022,0
제주도,2023,0
제주도,2024,0
충청남도,2015,0
충청남도,2016,3
충청남도,2017,0
충청남도,2018,1
충청남도,2019,1
충청남도,2020,3
충청남도,2021,0
충청남도,2022,5
충청남도,2023,0
충청남도,2024,0
충청북도,2015,0
충청북도,2016,0
충청북도,2017,0
충청북도,2018,2
충청북도,2019,2
충청북도,2020,2
충청북도,2021,0
충청북도,2022,0
충청북도,2023,1
충청북도,2024,3
