연도,시도명,합계 일조시간(hr),관측소 수,평균 일조시간(시간)
2015,강원도,16790.1,13,1292
2015,경기도,6694,5,1339
2015,경상남도,15517.2,14,1108
2015,경상북도,18112.6,15,1208
2015,광주광역시,1168.3,1,1168
2015,대구광역시,1180.3,1,1180
2015,대전광역시,1355.6,1,1356
2015,부산광역시,1245,1,1245
2015,서울특별시,1409.7,1,1410
2015,세종특별자치시,1355.6,1,1356
2015,울산광역시,1046.6,1,1047
2015,인천광역시,4209.1,3,1403
2015,전라남도,16193.6,14,1157
2015,전라북도,11489.7,10,1149
2015,제주도,4567.1,4,1142
2015,충청남도,5993.5,5,1199
2015,충청북도,5025.2,4,1256
2016,강원도,15612,13,1201
2016,경기도,6327,5,1265
2016,경상남도,15930.8,14,1138
2016,경상북도,18133,15,1209
2016,광주광역시,1161.2,1,1161
2016,대구광역시,1190.4,1,1190
2016,대전광역시,1336.7,1,1337
2016,부산광역시,1312.2,1,1312
2016,서울특별시,1317.4,1,1317
2016,세종특별자치시,1336.7,1,1337
2016,울산광역시,1256.9,1,1257
2016,인천광역시,3881.5,3,1294
2016,전라남도,16409.8,14,1172
2016,전라북도,12061.9,10,1206
2016,제주도,4316.4,4,1079
2016,충청남도,7568.1,6,1261
2016,충청북도,4793.3,4,1198
2017,강원도,17609.1,14,1258
2017,경기도,6543.9,5,1309
2017,경상남도,18031.7,14,1288
2017,경상북도,19956.5,15,1330
2017,광주광역시,1243.8,1,1244
2017,대구광역시,1343.1,1,1343
2017,대전광역시,1411.9,1,1412
2017,부산광역시,1395.7,1,1396
2017,서울특별시,1369.4,1,1369
2017,세종특별자치시,1411.9,1,1412
2017,울산광역시,1413.9,1,1414
2017,인천광역시,4069.6,3,1357
2017,전라남도,17703.8,14,1265
2017,전라북도,12650.6,10,1265
2017,제주도,4873.9,4,1218
2017,충청남도,7673.7,6,1279
2017,충청북도,5113.9,4,1278
2018,강원도,17493,14,1250
2018,경기도,6692.2,5,1338
2018,경상남도,16597.1,14,1186
2018,경상북도,18771.6,15,1251
2018,광주광역시,1234.7,1,1235
2018,대구광역시,1240.7,1,1241
2018,대전광역시,1364.7,1,1365
2018,부산광역시,1346.7,1,1347
2018,서울특별시,1371.3,1,1371
2018,세종특별자치시,1364.7,1,1365
2018,울산광역시,1292.7,1,1293
2018,인천광역시,3935.8,3,1312
2018,전라남도,16684.3,14,1192
2018,전라북도,12727.1,10,1273
2018,제주도,4612.8,4,1153
2018,충청남도,7789.3,6,1298
2018,충청북도,5136.9,4,1284
2019,강원도,17167.3,14,1226
2019,경기도,6342.5,5,1268
2019,경상남도,16602.4,14,1186
2019,경상북도,18625.6,15,1242
2019,광주광역시,1138.6,1,1139
2019,대구광역시,1214.6,1,1215
2019,대전광역시,1293.7,1,1294
2019,부산광역시,1337.4,1,1337
2019,서울특별시,1329,1,1329
2019,세종특별자치시,728.8,1,729
2019,울산광역시,1327.1,1,1327
2019,인천광역시,4046.6,3,1349
2019,전라남도,15928.3,14,1138
2019,전라북도,11574.1,10,1157
2019,제주도,4630.9,4,1158
2019,충청남도,6885.9,6,1148
2019,충청북도,4674.8,4,1169
2020,강원도,15346.9,14,1096
2020,경기도,5588.9,5,1118
2020,경상남도,15454.4,14,1104
2020,경상북도,16992,15,1133
2020,광주광역시,1078.8,1,1079
2020,대구광역시,1182.1,1,1182
2020,대전광역시,1219.9,1,1220
2020,부산광역시,1161.2,1,1161
2020,서울특별시,1035.7,1,1036
2020,세종특별자치시,1112.4,1,1112
2020,울산광역시,1287.9,1,1288
2020,인천광역시,3436.6,3,1146
2020,전라남도,14050.7,13,1081
2020,전라북도,10428.2,10,1043
2020,제주도,4533.4,4,1133
2020,충청남도,6363.6,6,1061
2020,충청북도,4258.4,4,1065
2021,강원도,15815.1,14,1130
2021,경기도,5919.7,5,1184
2021,경상남도,15195.4,14,1085
2021,경상북도,16044,15,1070
2021,광주광역시,1092.6,1,1093
2021,대구광역시,1117.5,1,1118
2021,대전광역시,1201.8,1,1202
2021,부산광역시,1085,1,1085
2021,서울특별시,1102.3,1,1102
2021,세종특별자치시,1147.9,1,1148
2021,울산광역시,1212.2,1,1212
2021,인천광역시,3810.3,3,1270
2021,전라남도,15132.8,13,1164
2021,전라북도,11230.6,10,1123
2021,제주도,4688.5,4,1172
2021,충청남도,6872.4,6,1145
2021,충청북도,4508.1,4,1127
2022,강원도,16410.4,14,1172
2022,경기도,6025.8,5,1205
2022,경상남도,16392.3,14,1171
2022,경상북도,17870.7,15,1191
2022,광주광역시,1207.3,1,1207
2022,대구광역시,1260.5,1,1260
2022,대전광역시,1201.5,1,1202
2022,부산광역시,1193.9,1,1194
2022,서울특별시,1140.9,1,1141
2022,세종특별자치시,1214.9,1,1215
2022,울산광역시,1282.8,1,1283
2022,인천광역시,3623.4,3,1208
2022,전라남도,15091.3,13,1161
2022,전라북도,11736,10,1174
2022,제주도,4883.5,4,1221
2022,충청남도,7240.7,6,1207
2022,충청북도,4856.3,4,1214
2023,강원도,15909.6,14,1136
2023,경기도,5483.1,5,1097
2023,경상남도,14820.5,14,1059
2023,경상북도,17055.2,15,1137
2023,광주광역시,1092.5,1,1092
2023,대구광역시,1144.5,1,1144
2023,대전광역시,1150.1,1,1150
2023,부산광역시,2190.8,2,1095
2023,서울특별시,1072.3,1,1072
2023,세종특별자치시,1072.6,1,1073
2023,울산광역시,1135.7,1,1136
2023,인천광역시,3496.7,3,1166
2023,전라남도,13670.4,13,1052
2023,전라북도,10757.4,10,1076
2023,제주도,4253.2,4,1063
2023,충청남도,6866.2,6,1144
2023,충청북도,5370.9,5,1074
2024,강원도,16939.2,14,1210
2024,경기도,5978.6,5,1196
2024,경상남도,16852.5,14,1204
2024,경상북도,18933.7,15,1262
2024,광주광역시,1235.9,1,1236
2024,대구광역시,1265.7,1,1266
2024,대전광역시,1325.7,1,1326
2024,부산광역시,2439.2,2,1220
2024,서울특별시,1199,1,1199
2024,세종특별자치시,1241.7,1,1242
2024,울산광역시,1302.2,1,1302
2024,인천광역시,3805.6,3,1269
2024,전라남도,16066.5,13,1236
2024,전라북도,12038.7,10,1204
2024,제주도,4548.5,4,1137
2024,충청남도,7723.8,6,1287
2024,충청북도,6140.8,5,1228
