year,시도명,장마_평균_일강수량(mm)
2015,강원도,10.809
2015,경기도,12.968
2015,경상남도,13.097
2015,경상북도,10.091
2015,광주광역시,7.645
2015,대구광역시,11.368
2015,대전광역시,9.232
2015,부산광역시,11.133
2015,서울특별시,13.043
2015,세종특별자치시,9.232
2015,울산광역시,10.587
2015,인천광역시,10.308
2015,전라남도,12.58
2015,전라북도,9.754
2015,제주도,20.557
2015,충청남도,9.168
2015,충청북도,11.125
2016,강원도,19.753
2016,경기도,17.574
2016,경상남도,12.582
2016,경상북도,13.856
2016,광주광역시,15.824
2016,대구광역시,12.125
2016,대전광역시,16.465
2016,부산광역시,11.904
2016,서울특별시,14.571
2016,세종특별자치시,16.465
2016,울산광역시,11.148
2016,인천광역시,12.757
2016,전라남도,13.487
2016,전라북도,13.642
2016,제주도,13.668
2016,충청남도,14.498
2016,충청북도,19.734
2017,강원도,17.137
2017,경기도,20.869
2017,경상남도,8.366
2017,경상북도,10.875
2017,광주광역시,9.876
2017,대구광역시,6.415
2017,대전광역시,16.243
2017,부산광역시,10.155
2017,서울특별시,22.586
2017,세종특별자치시,16.243
2017,울산광역시,4.996
2017,인천광역시,12.219
2017,전라남도,8.975
2017,전라북도,11.522
2017,제주도,11.847
2017,충청남도,16.565
2017,충청북도,22.292
2018,강원도,18.202
2018,경기도,22.344
2018,경상남도,20.051
2018,경상북도,15.718
2018,광주광역시,23.046
2018,대구광역시,17.94
2018,대전광역시,24.414
2018,부산광역시,18.684
2018,서울특별시,20.131
2018,세종특별자치시,24.414
2018,울산광역시,13.684
2018,인천광역시,15.206
2018,전라남도,22.005
2018,전라북도,23.499
2018,제주도,12.932
2018,충청남도,21.344
2018,충청북도,20.205
2019,강원도,8.659
2019,경기도,10.885
2019,경상남도,22.274
2019,경상북도,10.653
2019,광주광역시,13.019
2019,대구광역시,13.748
2019,대전광역시,9.732
2019,부산광역시,28.586
2019,서울특별시,7.366
2019,세종특별자치시,16.172
2019,울산광역시,18.724
2019,인천광역시,9.817
2019,전라남도,18.931
2019,전라북도,13.659
2019,제주도,23.754
2019,충청남도,9.481
2019,충청북도,8.785
2020,강원도,14.306
2020,경기도,14.105
2020,경상남도,25.393
2020,경상북도,17.856
2020,광주광역시,20.883
2020,대구광역시,13.421
2020,대전광역시,20.097
2020,부산광역시,34.403
2020,서울특별시,13.337
2020,세종특별자치시,18.857
2020,울산광역시,23.346
2020,인천광역시,13.887
2020,전라남도,19.355
2020,전라북도,17.802
2020,제주도,15.961
2020,충청남도,17.617
2020,충청북도,16.221
2021,강원도,8.413
2021,경기도,6.443
2021,경상남도,18.255
2021,경상북도,9.077
2021,광주광역시,11.38
2021,대구광역시,6.715
2021,대전광역시,8.388
2021,부산광역시,26.447
2021,서울특별시,10.47
2021,세종특별자치시,10.325
2021,울산광역시,11.453
2021,인천광역시,5.298
2021,전라남도,21.719
2021,전라북도,10.595
2021,제주도,11.189
2021,충청남도,8.574
2021,충청북도,10.68
2022,강원도,14.588
2022,경기도,23.238
2022,경상남도,9.735
2022,경상북도,8.255
2022,광주광역시,9.889
2022,대구광역시,6.064
2022,대전광역시,10.611
2022,부산광역시,10.087
2022,서울특별시,22.143
2022,세종특별자치시,17.51
2022,울산광역시,8.633
2022,인천광역시,21.557
2022,전라남도,10.93
2022,전라북도,8.562
2022,제주도,12.73
2022,충청남도,12.617
2022,충청북도,14.77
2023,강원도,16.882
2023,경기도,23.081
2023,경상남도,24.391
2023,경상북도,20.398
2023,광주광역시,37.063
2023,대구광역시,16.382
2023,대전광역시,30.73
2023,부산광역시,25.023
2023,서울특별시,21.029
2023,세종특별자치시,34.968
2023,울산광역시,13.87
2023,인천광역시,17.662
2023,전라남도,25.062
2023,전라북도,30.048
2023,제주도,14.682
2023,충청남도,26.666
2023,충청북도,28.075
2024,강원도,15.599
2024,경기도,21.816
2024,경상남도,15.846
2024,경상북도,16.241
2024,광주광역시,13.545
2024,대구광역시,15.971
2024,대전광역시,20.641
2024,부산광역시,15.346
2024,서울특별시,20.484
2024,세종특별자치시,22.21
2024,울산광역시,13.63
2024,인천광역시,15.6
2024,전라남도,18.198
2024,전라북도,17.883
2024,제주도,18.379
2024,충청남도,23.948
2024,충청북도,22.815
